movieId,bag_of_words
11,"american,presid,comedy,drama,romance,robreiner,michaeldouglas,annettebening,martinsheen,michaelj.fox,nofagan,robreiner,seen,singlparent,uspresid,martinsheen,amazkungfu,whitehouse,bibliothek,seen,dvdcollect,drama,clv,girlimovi,decentflick,cute,cleverdialogu,widow,wildlifconserv,presid,annettbene,ethic,greatcast,greatstori,michaeldougla,greatperform,aaronsorkin,romanc,polit,screenwritaaronsorkin,newlove,usapresid,whitehous,moral"
12,"dracula,dead,love,comedy,horror,melbrooks,leslienielsen,melbrooks,petermacnicol,stevenweber,funni,bdr,vampir,farc,bore,vampir,melbrook,dracula,leslinielsen,parodi,spoof,gothic"
13,"balto,adventure,animation,children,simonwells,kevinbacon,bobhoskins,bridgetfonda,jimcummings,goos,anim,eimuista,simonwell,wolv,sortbore,dogsl,wolf,pet,frozenlake,dog,dogsled,dog,bearattack,alaska,itaeg,talkanim,sleddog,dogsledrace,anim"
14,"nixon,drama,oliverstone,anthonyhopkins,joanallen,powersboothe,edharris,truestori,uspresid,cinematographrobertrichardson,historopinion,politdrama,wooohoo,5,corrupt,clv,waterg,biopic,watergscandal,usapresid,presidentielect,anthonihopkin,drama,basetruestori,polit,presid,biograph,tumeysvh,olivstone,biographi,govern,historfigur,long"
15,"cutthroat,island,action,adventure,romance,rennyharlin,geenadavis,matthewmodine,franklangella,maurychaykin,geenadavi,clv,badact,sexual,treasurhunt,swordfight,pirat,humor,franklangella,betterrememb,exotisland,action,bigbudget,treasur,ship,scalp,pirat,map,pirat,adventur"
16,"casino,crime,drama,martinscorsese,robertdeniro,sharonstone,joepesci,jameswoods,nofagan,gambl,soundtrack,overdos,deniro,erlendsdvd,goodfellaii,deniropink,nuditirear,need,cinematographrobertrichardson,gangster,lavega,basebook,robertdeniro,poker,cannib,pesci,joepesci,bibliothek,suspens,gambl,nadysku,clv,bdvideo,divx1,charactdevelop,vega,nuditi,dvr,stylish,slow,muddlmotiv,indulg,documentarilike,masterpiec,watch,illegprostitut,robertdeniro,1980,greatperform,gangster,complex,nudititoplessbrief,nuditirear,violent,robertdeniro,imdbtop250,casino,rewatch,organcrime,corrupt,plot,narrat,lavega,drugabus,martinscorses,nonfict,mafia,excelcast,etaeg,tumeysdvd,ericsdvd,robertdeniro,scorces,cultfilm,memasasmovi,long,1970,violenc,mob,mafia,hysterwife,sharonstone,longmovi,joepesci,greatensemblcast"
17,"sens,sensibl,drama,romance,anglee,emmathompson,katewinslet,jamesfleet,tomwilkinson,oscarnominebestpictur,upperclass,rural,patriarchi,london,imogenstubb,hughlauri,britain,courtship,militarioffic,servant,ruralset,rainstorm,perioddrama,oscarnominebestpictur1995,heartbreak,bore,periodfilm,regencengland,inherit,nadysku,clv,bdr,seen2012,greatadapt,shakespear,nothhappen,hughgrant,welladapt,bibliothek,mine,dvd,clssicalromanc,svensseelist,truelovestori,english,horscarriag,literatur,decorum,katewinslet,emmathompson,alanrickman,british,janeausten,hulu,romant,periodpiec,heartwarm,costumdrama,chickflick,basebook,19thcenturi,histor,devon,adaptbook,romanc,greatscreenplays,18thcenturi,shakespear,bowl,basenovelbook,fast,countrilife,netflixfinland,authorjaneausten,anglee,classicliteratur,romanc,period,british,trialtribul,bgablrc,emot,hughgrant,classic"
18,"four,room,comedy,timroth,antoniobanderas,sammidavis,amandadecadenet,thriller,drama,witchcraft,vomit,newyear,night,murder,gross,roleplay,comedi,salmahayek,jennifbeal,witch,awesomsoundtrack,combustedisonmusic,alexandrrockwel,allisonander,own,4,blasphem,foullanguag,womandirector,nudititopless,sperm,robertrodriguez,loangel,antoniobandera,madonna,multiplstorylin,newyearseve,darkcomedi,fastpace,multiplshortstorione,rodriguez,brucewilli,comedi,quentintarantino,nudititopless,tarantino,hotelroom,hoodlum,bet,hotel,tumeysvh,witch,tarantino,timroth,antholog"
19,"ace,ventura,natur,call,comedy,steveoedekerk,jimcarrey,ianmcneice,simoncallow,maynardeziashi,humananimrelationship,funni,sillifun,africa,bat,indigen,awesom,wackicomedi,goofi,privatdetect,sequel,dumb,simpl,stupid,hilari,grossout,steveoedekerk,detect,rhinoaction,stupidhell,africa,comedi,crazi,childhoodfav,jimcarrey,kindcomedi,oneworstmovialltime,top,simoncallow,spit,heheh"
20,"money,train,action,comedy,crime,drama,thriller,josephruben,wesleysnipes,woodyharrelson,jenniferlopez,robertblake,trainrobberi,clv,lopez,afternoonsection,lame,subway,josephruben,newyorksubway,newyorkciti,worthwhil,money,siblrelationship,nudititoplessbrief,intens"
21,"get,shorti,comedy,crime,thriller,barrysonnenfeld,genehackman,renerusso,dannydevito,johntravolta,mobster,job,gangster,debt,basenovelbook,con,travel,authorelmorleonard,funni,crime,basebook,foqam,nofagan,getoldstillexcel,quirki,renerusso,barrisonnenfeld,watch,travolta,mob,clv,dannidevito,forget,elmorleonard,contriv,busi,violenc,silli,funni,genehackman,hilari,hollywood,johntravolta,mafia,satir,airport,crime,drug,escobar,satirhollywoodinsid,hollywood,usa,gambl,produc,planecrash,murder,stuntman,money,miami,la,movibusi"
22,"copycat,crime,drama,horror,mystery,thriller,jonamiel,sigourneyweaver,hollyhunter,dermotmulroney,williammcnamara,suspens,policoper,mysteri,claustrophob,strongfemallead,detectthriller,psycholog,psychologist,policprotect,policbrutal,thriller,freeman,cowardli,femalprotagonist,serialkiller,sigourneyweaver,agoraphobia,detect,suspens,hollihunter,trauma"
23,"assassin,action,crime,thriller,richarddonner,sylvesterstallone,antoniobanderas,juliannemoore,anatolidavydov,festiv,action,antoniobandera,chess,contractkiller,escap,clv,juliannmoor,wachowskibrother,spain,strongcast,stunt,afternoonsection,richarddonner,25,divx1,sniperrifl,plottwist,silenc,explos,seattl,shootout,kill,assassin,bank,caribbean,cat,cia,competit,sylveststallon,doublcross,hiddencamera,hitman,mexicanstandoff,missionmurder,policchase,rescu,rivalri,detroit"
24,"powder,drama,sci-fi,victorsalva,marysteenburgen,seanpatrickflanery,lancehenriksen,jeffgoldblum,fantasi,philosophi,electr,hairless,magnet,reflect,controversi,poignant,earnest,elegiac,tearjerk,outcastteachusallcheesilesson,cantrememb,empathi,victorsalva,comeage,postapocalypt,teacherstudentrelationship,teenagboy,specialpower,inan,pretenti,christallegori,deadanim,extrasensoripercept,faint,albino,flickerlight,healpower,heldgunpoint,jacobladder,pale,psionicpower,shotdeath"
25,"leav,la,vega,drama,romance,mikefiggis,nicolascage,elisabethshue,juliansands,richardlewis,authorjohnobrien,nofagan,overact,sad,implaus,greatsoundtrack,badcast,unsoci,nudititopless,lovesick,screenwrit,ragehate,prostitut,movibusi,loveenough,nihil,drama,elizabethshue,own,lovefirstsight,drunken,haunt,suicid,bittersweet,prostitut,poignant,starcrosslover,melancholi,alcohol,mikefiggi,alcohol,elisabethemot,dvdvideo,favorit,bibliothek,elegiac,loangel,dark,individu,oscarbestactor,lavega,basebook,existenti,atmospher,valeriagolino,nudititopless,nicolacage,mariskahargitay,kimadam,juliansand,emiliprocter,elisabethshue,addict,melanchol,depress,intim,alcohol,selfdestruct,hotelroom,diedeath,casino,alcoholabus,love,prostitut,loneli,alcohol,adaptbook,realistcharact,overr,librari,annemari,suicid,underst,drink"
26,"othello,drama,oliverparker,laurencefishburne,kennethbranagh,nathanielparker,wow,clv,olivparker,playwrightshakespear,adaptplay,eimuista,baseplay,shakespearean,moor,jealousi,friend,nudititopless,great,shakespear,shakespear"
27,"now,children,drama,leslilinkaglatter,christinaricci,demimoore,rosieo'donnell,thorabirch,femalfriendship,1970,comeage,gynecologist,photocopi,greatsoundtrack,womandirector,bitbore,women,retro,truthdare,thorabirch,soundtrack,song,bechdeltestpass,brendanfraser,christinaricci,friendship,gabihoffman,demimoor,melanigriffith,ritawilson,rosiodonnel,sisterhood,janeangarofalo"
28,"persuas,drama,romance,rogermichell,amandaroot,susanfleetwood,corinredgrave,bore,napoleonwar,classicliteratur,slow,admir,captain,oldflame,act,amandarootfabul,setengland,jnetflix,bdr,clv,bland,pampossibl,basebook,adaptbook,librarivh,periodpiec,adapt,janeausten,18thcenturi,etaeg,netflixqueue,19thcenturi,bestadapt,amandaroot,authorjaneausten,england,fionashaw,rogermichel,screenwritnickdear"
29,"citi,lost,children,de,enfant,perdu,la,adventure,drama,fantasy,mystery,sci-fi,ronperlman,danielemilfork,judithvittet,dominiquepinon,creepifantasi,creepi,need,orphan,circu,deershit,deer,friendship,girl,creepitween,eye,dream,clone,childhood,rescu,dwarf,erlendsdvd,french,age,visual,skinut,legendaptbr,25,mechan,freak,comput,richset,jeunet,neonoir,weirdtwin,weirdsoundtrack,weirdfantasi,christma,nudititopless,island,santaclau,fanci,children,darkfairytal,btaeg,steampunk,darkfantasi,kidnap,whimsic,scifi,dystopia,atmospher,surreal,weird,awkwardromanc,abuschildren,dreamlik,dark,bleak,ronperlman,marccaro,jeanpierrjeunet,dominiqupinon,charact,hallucinatori,memasasmovi,beauti,set,visualstun,visualappeal,styliz,strang,darkfantasi,clowniclone"
30,"shanghai,triad,yao,yao,yao,dao,waipo,qiao,crime,drama,yimouzhang,ligong,baotianli,xiaoxiaowang,xuejianli,zhangyimou,yimouzhang,gongli,umbrella,uncl,servant,mistress,diva,cabaret,shanghai"
31,"danger,mind,drama,johnn.smith,michellepfeiffer,georgedzundza,courtneyb.vance,robinbartlett,afternoonsection,highschool,michelpfeiffer,goodsoundtrack,johnsmith,socialcommentari,awesom,dead,douchebag,emilio,kindascari,nigga,poetri,professor,stupid,touch,bibliothek,death,island,greatsoundtrack,seencinema,crime,dangermind,inspir,highschool,teacher,gangster,amuspark,karat,navaloffic,educ,pamslist,review,basebook,schooldrama,drama,erlendsdvd,protagonistteacher,rapmusic,teacherchanglive"
32,"twelv,monkey,aka,12,monkey,mystery,sci-fi,thriller,terrygilliam,brucewillis,madeleinestowe,bradpitt,josephmelito,realitiimagin?,socialmisfit,elabor,timetravel,biolog,disappoint,geniu,dvd,get,own,memoriremain,subterranean,thriller,stockholmsyndrom,drama,philadelphia,monkey,lethalviru,cultfilm,cassandrasyndrom,tumeysdvd,dystopian,scifi,depress,davidwebbpeopl,chrimarker,hardfollow,brilliant,drama,setphiladelphia,excel,disqualifi,gilliam,timeparadox,practiceffect,dvdvideo,dystopianfutur,differview,goodhell,divx1,3,futuristmoviecom,sf,strongdirector,scifdark,amaz,baseshortfilm,darkfutur,seencinema,clever,scenario,music,jeffrey,end,plotpointbiomeddanger,naturinsan,adaptfrom/inspirshortfilm,scifi,heterosexu,heterosexu,datetechnolog,seen,sciencfiction,schizophrenia,dystopfutur,clearplay,mindfuck,mentalill,dystopia,terrigilliam,violenc,remak,psycholog,imdbtop250,imagin,genet,futur,classic,british,adventur,mindfuckmovi,bradpitt,absurd,timeloop,scifi,twistend,brucewilli,bradpitt,atmospher,origin,greatend,timetravel,postapocalypt,complic,r,brucewilli,postapocalypt,montypythonrel,complicplot,brucewillli,mentalinstitut,memasasmovi,rewatch,agon,biologwarfar,asylum,remakfrenchfilm,determinist,greatactor,stori,design,historiograpghitimetravel,overr,inmat,endworld,annoycharact,christophplummer,madeleinstow,ratedr,josephmelito,dark,badact,special,stupid,afterwatchspendhourthinkig,weirdgoodfilm,interest,epidem,orangponytail"
34,"babe,children,drama,chrisnoonan,jamescromwell,magdaszubanski,christinecavanaugh,miriammargolyes,biographi,anim,oscarnominebestpictur,oscarnominebestpictur1995,hugoweav,afi100cheer,pig,animpig,barnyardanim,dvdcollect,heartwarm,farmtale,favorit,original,clv,sweet,favorit,llpig,environment,bore,rat,fantasi,overr,sheep,animmovi,talkanim,infantil,adventur,anim,children,cute,funni,witti,villainnonexistneedgoodstori,famili,chrinoonan,meati,farm,farm,food,pig,wayoverr,easiliconfusmovititl,dvr"
36,"dead,man,walk,crime,drama,timrobbins,susansarandon,seanpenn,robertprosky,raymondj.barry,capitpunish,basebook,deaf,institut,death,drama,buy,ratedr,socialcommentari,redempt,penademuert,clv,unsoci,emot,therapist,christian,abe,strong,knoll,socialdeprivfamili,law,courtroom,cantrememb,prisoner,2,watch,murder,moraldilemma,ethic,usa,uk,timrobbin,crime,book,ari,sentenc,penalti,rightjustic,sad,oscarbestactress,rewatch,deathrow,susansarandon,religion,nun,intens,truestori,seanpenn,prison,nun,deathpenalti,selfdiscoveri,catholic,pompadour,couldntfinish,bibl,ragehate,prisoncell,mercipetit,lethalinject,forgiv,annemari,doomman,despair,electrchair,cowardli,courtcase,court,chariti,rape,dialogu,deathsentenc"
38,"take,two,children,comedy,andytennant,kirstiealley,steveguttenberg,mary-kateolsen,ashleyolsen,cute,nostalg,marikateashley,heartwarm,fun,anditennant,orphan,switchplace,relationshipsabotag,twins/interrellive,matchmak,identtwin,twin"
39,"clueless,comedy,romance,amyheckerling,aliciasilverstone,staceydash,brittanymurphy,paulrudd,needfeelgood,netflixfinland,amiheckerl,sawtentime,teenslang,fun,commentari,donaldfaison,girlimovi,brittanimurphi,updatclassic,femaldirector,light,goodlookgirl,nofagan,staceydash,bestcomedi,adaptbook,authorjaneausten,radiohead,standardromantcomedi,highschool,sunni,romanc,comedi,comingofag,dumbteen,beautiwoman,inspirjaneausten,classic,funni,emma,adapt,want,basebook,1990,paulrudd,aliciasilverston,romanc,teenmovi,chickflick,classic,fashion,funni,seen,janeausten,teenag,funni,teenag,silli,quotabl,teen,parodi,quick,frivol,romantcomedi,highschool,comedi,funni,multiplview"
40,"cri,belov,countri,drama,darrellroodt,richardharris,jamesearljones,vusikunene,charless.dutton,disk,darrelroodt,racism,africa,basebook,southafrica,netflixqueue,hulu,southafrica"
41,"richard,iii,drama,war,richardloncraine,ianmckellen,annettebening,christopherbowen,edwardjewesbury,richardloncrain,adaptplay,shakespear,murder,king,kidnap,england,shakespear,playwrightshakespear,ianmckellen,greatact,corruptprotagonist,baseplay,robertdowneyjr,clv,updatclassic,dvdram"
42,"dead,presid,action,crime,drama,larenztate,keithdavid,christucker,redempt,revolutinoari,veteran,crime,vietnamwar,warveteran,clv,ptsd,vietnam,money,africanamerican,medic,lossvirgin,heist,armortruck,mercikilling,1960,ericsdvd,bankrobberi"
43,"restor,drama,michaelhoffman,robertdowneyjr.,samneill,davidthewlis,pollywalker,clv,spaniel,medicin,jealousi,glove,fountain,wealth,britishmonarchy,17thcenturi,england,nudititopless,periodpiec,histor,court"
44,"mortal,kombat,action,adventure,fantasy,paulw.s.anderson,christopherlambert,robinshou,lindenashby,cary-hiroyukitagawa,badgraphic,goodsoundtrack,themesong,videogam,adaptgame,paulanderson,badsgood,setdesign,action,seencinema,movisee,fatal,nostalgiacritic,bloodgore,fatal,bdvideo,clv,badact,kungfu,alterndimens,ninja,violenc,basevideogame,fightscene,awesomsoundtrack,faithgame,fight,greatcast,styliz,ninja,overthetopaction,ridiculcharact,martialart,christophlambert,basevideogame,gore,handhandcombat,island,monster,sorcer,videogameadapt,tournament"
45,"die,comedy,drama,thriller,gusvansant,nicolekidman,mattdillon,joaquinphoenix,caseyaffleck,erlendsdvd,bibliothek,darkhumor,joaquinphoenix,media,clv,nicolkidman,winter,waynknight,televis,librari,newhampshir,obsess,r,journalism,100essentifemalperform,clearplay,adulteri,gaydirector,mockumentari,narcissistpersondisord,darkcomedi"
46,"make,american,quilt,drama,romance,jocelynmoorhouse,winonaryder,ellenburstyn,annebancroft,kaelynncraddick,marricoupl,clv,bibliothek,basebook,womandirector,wedvow,quilt,monogami,marriagpropos,grandmoth,love,marriag,nudititoplessbrief,chickflick,wed,women,extramaritaffair,familiholiday,advic"
47,"seven,aka,se7en,mystery,thriller,davidfincher,morganfreeman,bradpitt,kevinspacey,andrewkevinwalker,bfimodernclassic,gori,violenc,geniuhorror,good,erlendsdvd,netflixqueue,own,own,actualendobviu,generlikemoviactorcrime,morganfreemanleavnonsens,sevendeadlisin,patholog,worstever,credit,predict,denzilwashington,captiv,gorgeoucinematographi,policinvestig,tumeysseeagain,drugdealer,eviscer,immoder,insomnia,lustimpuls,pension,pridevaniti,biblic,ragehate,selffulfilpropheci,favourit,theater,vh,amaz,creepi,badend,scaristuff,seencinema,goodthrillerbradpitt,watch1995,bdvideo,dvdvideo,best,divx,dant,confus,violent,atmospher,bibl,detect,grotesqu,literatur,psycholog,serialkiller,sin,strongthirdact,tumeysdvd,want,capitsin,suitcaslight,stereotypcharact,nihil,act,greatact,usa,davidfincher,scope,murderinvestig,omin,top10ever,serialkiller,strang,suspens,detect,graphicviolenc,saturnawardbestwrite,35,want,spannend,scari,overr,cynic,detect,drama,gloomi,gore,grim,gruesom,gwynethpaltrow,horror,imdbtop250,murder,polic,psychologthriller,religion,sin,thriller,twistturn,violent,crime,ashleyjudd,psycholog,morganfreeman,goodplot,disturb,philosoph,powerend,psycholog,twistend,atmospher,end,clearplay,investig,bradpitt,greatend,kevinspacey,morganfreeman,mysteri,biblic,bradpitt,dark,serialkiller,r,davidfincher,surprisend,librarivh,lust,number,pride,setlibrari,seven,sin,sloth,week,wrath,hopelessend,polici,noir,crime,superinterest,bradpitt,husbandwifrelationship,gluttoni,christian,book,greed,rewatch,terriblend,ratedr,seen,mess,envi,disgust,neonoir,sexualassault,shock,twist,policdetect,charact,painwatch,evil,menac,creativ,psychologdrama"
48,"pocahonta,animation,children,drama,musical,romance,melgibson,lindahunt,christianbale,joebaker,get,cartoon,oscarbestmusicoriginsong,oscarbestmusicoriginscore,interraciromanc,disneyanimfeatur,soundtrack,melgibson,judikuhn,johnkassir,irenbedard,davidogdenstier,stereotyp,nofagan,russelmean,relatpocahonta1995,historinaccur,short,princessseri,nostalgic,90kid,super185blowup,dvdvideo,bdvideo,1600s,70mm,katottava,oscar,lovestori,classic,adventur,skinnipocahonta,sidekicksidekick,alanmenken,nativamerican,indianvsettler,talkanim,crossculturrelationship,disneyrenaiss,basemythfolklor,animtree,animsidekick,17thcenturi,stori,accordtruth,dialogu,strongfemallead,disney,anim,itaeg,mikegabriel,ericgoldberg,culturclash,forbiddenlove,coloni,indianchief,indian,virginia,starcrosslover,goldrush,shaman,settler,romanc,song,princess,powhatan,nativamerican,musket,music,landclaim,jamestownvirginia,pugdog"
49,"night,fall,drama,romance,patriciarozema,rachaelcrawford,henryczerny,davidfox,patriciarozema,nudititopless,nuditi,lesbiandirector,professor,lgbt,visualappeal,womandirector,lesbian,femaldirector,circu,atmospher,nudititoplessnotabl,religion,gay,romanc"
50,"usual,suspect,crime,mystery,thriller,bryansinger,kevinspacey,gabrielbyrne,chazzpalminteri,stephenbaldwin,awesome,1990,dvd,fellasleep,own,blackhumour,mustsee,chazzpalminteri,complex,cinemaclub,meta,kevinpollak,thrile,unexpect,erlendsdvd,sadenkaisersose,myth,netflixfinland,keysersose,predictend,hungarian,law,rel,sibl,theft,cliffhanger,upsid,wantseeagain,slowbegin,neonoir,k,elabor,keysersoze,mindblow,oscarbestoriginscreenplay,cerebr,violencagainstchildren,love,commedi,good,surpris,crazi,psychothril,unexpectend,matrix,3,want,complot,charact,mentira,robo,beniciodeltoro,bdvideo,clv,filimnoir,detect,interrogflashback,spacey,modernclassic,atmospher,capermovi,criminmastermind,seencinema,act,suspens,mustsee,seen,kevinspaceysoze,sensat,movi,dullcharact,slow,action,loangel,kesersoze,watchagain,best90s,flashback,crimin,predict,ericsdvd,antihero,beniciodeltoro,caper,classic,clever,complicplot,conmen,ambiguend,detectthriller,flashback,funni,genredefin,gooddialog,greatcast,imdbtop250,intellig,ensemblcast,organcrime,mindfuck,greatend,greatact,storytel,twistend,conspiraci,crime,dark,thriller,complic,mysteri,twistturn,bryansinger,gabrielbyrn,heist,excelscript,kevinspacey,suspens,tumeysdvd,nonlinearstorylin,newyorkciti,plottwist,evil,dennifarina,btaeg,badact,bore,edgarawardbestmotionpictur,goodactor,oscarwinner,rstronglanguag,rviolenc,twist,goodmovideepquot,librari,christophmcquarri,crime,overr,petepostlethwait,fun,suziami,puzzlelik,rewatch,smartwrite,solvriddles/puzzl,surprisend,tricki,unrelinarrat,ratedr,violenc,whodunnit,clearplay,r,mustseen,comedi,oscarbestsupportactor,shorttermmemoriloss,christinestabrook,weblie"
52,"mighti,aphrodit,comedy,drama,romance,woodyallen,woodyallen,mirasorvino,pamelablair,reneceballos,erlendsdvd,objectstrong,mirasorvino,lookbirthparent,watch1995,clv,seencinema,independfilm,prostitut,childless,child,illegprostitut,adoptmother,adoptfather,woodiallen,prostitut,adopt,oscarbestsupportactress"
53,"lamerica,adventure,drama,gianniamelio,enricoloverso,micheleplacido,piromilkani,carmelodimazzarelli,independfilm,netflixqueue,immigr,gianniamelio"
54,"big,green,children,comedy,hollygoldbergsloan,steveguttenberg,oliviad'abo,jayo.sanders,johnterry,holligoldbergsloan,womandirector,kidfamili,sport,sport,disney,soccer"
55,"georgia,drama,ulugrosbard,jenniferjasonleigh,marewinningham,tedlevine,maxperlich,music,musician,alcohol,artist,band,drugs,100essentifemalperform"
57,"home,holiday,drama,jodiefoster,hollyhunter,annebancroft,robertdowneyjr.,charlesdurning,femaldirector,bore,lovabl,jodifoster,comedi,gay,bdr,hollihunter,robertdowneyjr,womandirector,thanksgiv,generconflict,familiconflict,familiclan,baltimor,drama,dysfunctfamili"
58,"postman,postino,il,comedy,drama,romance,massimotroisi,philippenoiret,mariagraziacucinotta,renatoscarpa,poet,writer,perrotlibrari,massimotroisi,beautifilm,disc,bore,michaelradford,troisi,poetriprimer,beautisceneri,oscarnominebestpictur1995,italianbittersweetromanc,write,sicili,pabloneruda,postman,poet,letter,island,fisherman,poetri,italianlovestori,oscarnominebestpictur"
60,"indian,cupboard,adventure,children,fantasy,frankoz,halscardino,litefoot,lindsaycrouse,richardjenkins,indian,famili,stevecoogan,fantasi,frankoz,basebook,cupboard,puppet,parallelworld,game,basebook,magic,toycomelife"
61,"eye,eye,drama,thriller,johnschlesinger,sallyfield,kiefersutherland,edharris,oliviaburnette,clv,johnschlesing,vigilant,gun,rape,grievparent,selfdefens"
